title,price,image,rating,reviews,url,colours,colour,sizes,size,images,stock_info,timestamp
"Lenovo IdeaPad 1 15.6"" Laptop Newest, 15.6 Inch HD Anti-Glare Display, Athlon Silver 3050U, 12GB RAM 256GB PCIe SSD+128GB eMMC, WiFi6 Bluetooth 5, 9.5Hr Battery, Windows 11 +GM Accessories",$339.00,https://m.media-amazon.com/images/I/61xYXJTLnAL._AC_SL1500_.jpg,4.4,161,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo1MzQ5NjMwMjQwNzEzMjMxOjE2ODg1OTk0NDM6c3BfYXRmOjIwMDE3NzIzNTM0NjE5ODo6MDo6&url=%2FLenovo-IdeaPad-Anti-Glare-Bluetooth-Accessories%2Fdp%2FB0C6PPKFQF%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Dlaptop%26qid%3D1688599443%26sprefix%3Dlaptop%252Caps%252C312%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,,,,0,"['https://m.media-amazon.com/images/I/41KhFG9CUwL._SL1500_.jpg', 'https://m.media-amazon.com/images/I/41nhFQviKnL._SL1500_.jpg', 'https://m.media-amazon.com/images/I/41JHZm57gGL._SL1500_.jpg', 'https://m.media-amazon.com/images/I/41ZsYyR4zOL._SL1500_.jpg', 'https://m.media-amazon.com/images/I/216qloRLgaL._SL1500_.jpg', 'https://m.media-amazon.com/images/I/31aFnfuUQoL._SL1500_.jpg', 'https://m.media-amazon.com/images/I/31jsZMFKXlL._SL1500_.jpg']",In Stock,2023-07-05T23:24:34Z
"SGIN 15.6 Inch Laptop, 24GB DDR4 512GB SSD Windows 11 Laptops Computer with Intel Celeron N5095 Processor(Up to 2.9GHz), FHD 1920x1080, Mini HDMI, 2.4/5.0G WiFi, Webcam, USB 3.0, Bluetooth 4.2",$419.99,https://m.media-amazon.com/images/I/71pKB0qxadL._AC_SL1500_.jpg,4.3,1660,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo1MzQ5NjMwMjQwNzEzMjMxOjE2ODg1OTk0NDM6c3BfbXRmOjMwMDAwMjQ3NjA3MzkwMjo6MDo6&url=%2FSGIN-Computer-Processor-1920x1080-Bluetooth%2Fdp%2FB0C6LPKXCS%2Fref%3Dsr_1_17_sspa%3Fkeywords%3Dlaptop%26qid%3D1688599443%26sprefix%3Dlaptop%252Caps%252C312%26sr%3D8-17-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,,Dark Gray,,0,"['https://m.media-amazon.com/images/I/51f7EcIAlaL._SL1500_.jpg', 'https://m.media-amazon.com/images/I/51DGyPsjvfL._SL1500_.jpg', 'https://m.media-amazon.com/images/I/51XsI13496L._SL1500_.jpg', 'https://m.media-amazon.com/images/I/510CDfz5PhL._SL1500_.jpg', 'https://m.media-amazon.com/images/I/41FKfqrWgNL._SL1500_.jpg', 'https://m.media-amazon.com/images/I/41OQevyduwL._SL1500_.jpg', 'https://m.media-amazon.com/images/I/41xeTyQOKvL._SL1500_.jpg']",In Stock,2023-07-05T23:25:09Z
"HP Newest Flagship 14"" HD Business Laptop Computer, 4-Core i5-1135G7(Up to 4.2GHz, Beat i7-1060G7), 16GB RAM, 1TB PCIe SSD, Iris Xe Graphics, Webcam, WiFi, Bluetooth, Windows 11 Home, w/Free Mouse Pad",$559.00,https://m.media-amazon.com/images/I/71GqFrnrz4L._AC_SL1500_.jpg,4.2,49,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo1Mjc0OTQ0ODExMzcxODM6MTY4ODU5OTUwMzpzcF9hdGZfbmV4dDozMDAwMDE0MDk2ODg4MDI6OjA6Og&url=%2FHP-i5-1135G7-i7-1060G7-Bluetooth-Accessories%2Fdp%2FB0C5H73H73%2Fref%3Dsr_1_33_sspa%3Fkeywords%3Dlaptop%26qid%3D1688599503%26sprefix%3Dlaptop%252Caps%252C312%26sr%3D8-33-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,i5,i5,8GB RAM | 512GB PCIe SSD ~|~ 16GB RAM | 1TB PCIe SSD ~|~ 16GB RAM | 256GB PCIe SSD ~|~ 16GB RAM | 512GB PCIe SSD ~|~ 32GB RAM | 1TB PCIe SSD ~|~ 32GB RAM | 2TB PCIe SSD,0,"['https://m.media-amazon.com/images/I/51tAYcjMuzL._SL1500_.jpg', 'https://m.media-amazon.com/images/I/31jsZMFKXlL._SL1500_.jpg', 'https://m.media-amazon.com/images/I/415bxXxDeuL._SL1500_.jpg', 'https://m.media-amazon.com/images/I/41aLHt-sDEL._SL1500_.jpg', 'https://m.media-amazon.com/images/I/51VVOYTKG7L._SL1500_.jpg', 'https://m.media-amazon.com/images/I/51Rytzbp-7L._SL1500_.jpg', 'https://m.media-amazon.com/images/I/51IMRfWqXpL._SL1500_.jpg']",In Stock,2023-07-05T23:25:34Z
Gateway 15.6 HD Ultra Slim Notebook in Navy Blue Intel Dual Core up to 3.1Ghz 4GB DDR4 128GB SSD Tuned by THX Audio HDMI Cortana Webcam W11 (Renewed),$239.00,https://m.media-amazon.com/images/I/616xLsBdVsL._AC_SL1500_.jpg,3.7,68,https://www.amazon.com/Gateway-Notebook-3-1Ghz-Cortana-Renewed/dp/B0BRLDF7QT?th=1,Grey ~|~ Azure Blue ~|~ Navy Blue,Navy Blue,Intel Core i3 4GB 128GB - FHD ~|~ Intel N4020 4GB 128GB,0,"['https://m.media-amazon.com/images/I/41VJ1L269qL._SL1500_.jpg', 'https://m.media-amazon.com/images/I/31Pr491uzJL._SL1500_.jpg', 'https://m.media-amazon.com/images/I/41VthWdhg-L._SL1500_.jpg', 'https://m.media-amazon.com/images/I/41ZBtgB73EL._SL1500_.jpg', 'https://m.media-amazon.com/images/I/416ngw7M9qL._SL1500_.jpg']",Only 8 left ,2023-07-05T23:26:02Z
"Samsung Chromebook 4 (2021 Model) 11.6"" Intel UHD Graphics 600, Intel Celeron Processor N4020, 4GB, 16GB- Wi-Fi - Satin Gray- (XE310XBA-KB1US)",$148.97,https://m.media-amazon.com/images/I/41YAfpeqI8L.__AC_SY300_SX300_QL70_ML2_.jpg,4.4,265,https://www.amazon.com/Samsung-Chromebook-Graphics-Celeron-Processor/dp/B08M2LB12T?th=1,,Satin Gray,,0,"['https://m.media-amazon.com/images/I/41YAfpeqI8L._SL1500_.jpg', 'https://m.media-amazon.com/images/I/31tUkrUgSlL._SL1500_.jpg', 'https://m.media-amazon.com/images/I/216TxMGIhWL._SL1500_.jpg', 'https://m.media-amazon.com/images/I/41NXkkXaoqL._SL1500_.jpg', 'https://m.media-amazon.com/images/I/41Nasciv1fL._SL1500_.jpg', 'https://m.media-amazon.com/images/I/41UHXbha0uL._SL1500_.jpg', 'https://m.media-amazon.com/images/I/41HKgqyx0SL._SL1500_.jpg']",In Stock,2023-07-05T23:26:24Z
"HP 2022 Premium 14-inch HD Thin and Light Laptop, Intel Dual-Core Processor, 16GB RAM, 64GB Storage, Long Battery Life, Webcam, Bluetooth, HDMI, Wi-Fi, Black, Windows 11 + 1 Year Microsoft 365",$329.00,https://m.media-amazon.com/images/I/71fYcgBJxkL._AC_SL1500_.jpg,4.2,507,https://www.amazon.com/HP-Premium-Dual-Core-Processor-Bluetooth/dp/B0B2F7KJKF?th=1,Black ~|~ Pink ~|~ Indigo Blue ~|~ Pale Gold ~|~ Rose Gold ~|~ Snow White,Black,14-inch,0,"['https://m.media-amazon.com/images/I/415UTq7j5yL._SL1500_.jpg', 'https://m.media-amazon.com/images/I/41THsERgWpL._SL1500_.jpg', 'https://m.media-amazon.com/images/I/41nj7ZUMQEL._SL1500_.jpg', 'https://m.media-amazon.com/images/I/51p+Pq5fggS._SL1500_.jpg', 'https://m.media-amazon.com/images/I/41bcl-utbwS._SL1500_.jpg', 'https://m.media-amazon.com/images/I/510PCYuWv6S._SL1500_.jpg', 'https://m.media-amazon.com/images/I/411wR0unTVL._SL1500_.jpg']",In Stock,2023-07-05T23:26:34Z
"ANMESC Laptop, 15.6"" 1080P Full HD Display High Performance Quad-Core Intel Celeron N5095 Processors 12GB DDR4 512GB SSD Windows 11 Laptop Computers, 2.4G/5G WiFi, Bluetooth 4.2, Long Battery Life",$349.99,https://m.media-amazon.com/images/I/61e5ozXtN6L._AC_SL1500_.jpg,4.3,53,https://www.amazon.com/ANMESC-Performance-Quad-Core-Processors-Computers/dp/B0C3LZSBWW?th=1,,Gray,,0,"['https://m.media-amazon.com/images/I/41j6A413PeL._SL1500_.jpg', 'https://m.media-amazon.com/images/I/51tZMEN2pfL._SL1500_.jpg', 'https://m.media-amazon.com/images/I/51HKQGywz0L._SL1500_.jpg', 'https://m.media-amazon.com/images/I/517o4iTNklL._SL1500_.jpg', 'https://m.media-amazon.com/images/I/516KPALxZcL._SL1500_.jpg', 'https://m.media-amazon.com/images/I/51z4bV9XLZL._SL1500_.jpg', 'https://m.media-amazon.com/images/I/51XlXV3HdIL._SL1500_.jpg']",,2023-07-05T23:26:52Z
"HP 2022 Newest Pavilion 15.6"" HD Laptop, Intel Quad-core Pentium Processor, 32GB RAM, 1TB SSD, 11 Hr Battry Life, Intel UHD Graphics, HD Webcam, Bluetooth, HDMI, USB Type-C, Scarlet Red, Win 11",$479.00,https://m.media-amazon.com/images/I/711yMY-peLL._AC_SL1500_.jpg,4.3,391,https://www.amazon.com/HP-Pavilion-Quad-core-Processor-Bluetooth/dp/B0B3KM5JL1?th=1,,,,0,"['https://m.media-amazon.com/images/I/41cbECWx4BL._SL1500_.jpg', 'https://m.media-amazon.com/images/I/51WnuYdHWhL._SL1500_.jpg', 'https://m.media-amazon.com/images/I/41yjiMUitcL._SL1500_.jpg', 'https://m.media-amazon.com/images/I/41Gq+RVZX0L._SL1500_.jpg', 'https://m.media-amazon.com/images/I/414jiIhGHYL._SL1500_.jpg', 'https://m.media-amazon.com/images/I/41suqIKewGL._SL1500_.jpg', 'https://m.media-amazon.com/images/I/411wR0unTVL._SL1500_.jpg']",In Stock,2023-07-05T23:27:01Z
HP 2020 Flagship 14 Chromebook Laptop Computer 14-inch HD SVA Anti-Glare Display Intel Celeron N5000 Processor 4GB DDR4 64GB eMMC WiFi Webcam Chrome OS (Renewed),$251.00,https://m.media-amazon.com/images/I/817Y3zdhTXL._AC_SL1500_.jpg,4.4,3073,https://www.amazon.com/Flagship-HP-Chromebook-Anti-Glare-Processor/dp/B08PDTLK1Q?th=1,Silver ~|~ Mineral Silver,Silver,,0,"['https://m.media-amazon.com/images/I/51HHic4c9eL._SL1500_.jpg', 'https://m.media-amazon.com/images/I/41QvIVOTriL._SL1500_.jpg', 'https://m.media-amazon.com/images/I/51vUFxOPP4L._SL1500_.jpg', 'https://m.media-amazon.com/images/I/41RTRDXLbqL._SL1500_.jpg', 'https://m.media-amazon.com/images/I/512QZBN3FnL._SL1500_.jpg', 'https://m.media-amazon.com/images/I/51RkkY09uoL._SL1500_.jpg', 'https://m.media-amazon.com/images/I/51cc7wWfLML._SL1500_.jpg']",In Stock.,2023-07-05T23:27:11Z
"ASUS G614JV-AS73 ROG Strix G16 (2023) Gaming Laptop, 16â€ 16:10 FHD 165Hz, GeForce RTX 4060, Intel Core i7-13650HX, 16GB DDR5, 512GB PCIe SSD, Wi-Fi 6E, Windows 11, G614JV-AS73, Eclipse Gray","$1,399.99",https://m.media-amazon.com/images/I/71jTFnk7XiL._AC_SL1500_.jpg,4.4,247,https://www.amazon.com/ASUS-G614JV-AS73-Strix-Gaming-Laptop/dp/B0BV8H8HVD?th=1,,Eclipse Gray,,0,"['https://m.media-amazon.com/images/I/41NYfjTDImL._SL1500_.jpg', 'https://m.media-amazon.com/images/I/51KKWVYT4FL._SL1500_.jpg', 'https://m.media-amazon.com/images/I/51WLw+9ItgL._SL1500_.jpg', 'https://m.media-amazon.com/images/I/41D-FN8qjLL._SL1500_.jpg', 'https://m.media-amazon.com/images/I/41zlUo2DKTL._SL1500_.jpg', 'https://m.media-amazon.com/images/I/41Eb1FZ8D6L._SL1500_.jpg', 'https://m.media-amazon.com/images/I/51cdJazwriL._SL1500_.jpg']",In Stock,2023-07-05T23:27:20Z
