title,price,image,rating,reviews,url,colours,colour,sizes,size,images,stock_info,timestamp
"Lenovo Tab M8 (4th Gen) - 2023 - Tablet - Long Battery Life - 8"" HD - Front 2MP & Rear 5MP Camera - 2GB Memory - 32GB Storage - Android 12 (Go Edition) or Later",$84.90,https://m.media-amazon.com/images/I/61e2XEOJLGL._AC_SL1500_.jpg,4.4,5680,https://www.amazon.com/Lenovo-Tab-M8-4th-Gen/dp/B0BYPKGM9V?th=1,,,,0,"['https://m.media-amazon.com/images/I/41wDDO31gYL._SL1500_.jpg', 'https://m.media-amazon.com/images/I/31sdZYP-HgL._SL1500_.jpg', 'https://m.media-amazon.com/images/I/21Lf0zkF6yL._SL1500_.jpg', 'https://m.media-amazon.com/images/I/31YJ7QJT0vL._SL1500_.jpg', 'https://m.media-amazon.com/images/I/41JUMEU6RML._SL1500_.jpg', 'https://m.media-amazon.com/images/I/41RrnCiLY4L._SL1500_.jpg', 'https://m.media-amazon.com/images/I/41g43-+NLvL._SL1500_.jpg']",In Stock,2023-07-05T16:47:30Z
"NORTH BISON Kids Tablet, 7 inch Android 11.0 Tablet for Kids, 3GB RAM 32GB ROM Toddler Tablet with Bluetooth, WiFi, GMS, Parental Control, Dual Camera, Shockproof Case, Educational, Games",$46.98,https://m.media-amazon.com/images/I/71b5tDfFUML._AC_SL1500_.jpg,3.7,1753,https://www.amazon.com/Android-Bluetooth-Parental-Shockproof-Educational/dp/B09YNPH7QL?th=1,Blue ~|~ Dark Blue ~|~ Green ~|~ Light Pink ~|~ Pink ~|~ Purple,Pink,,0,"['https://m.media-amazon.com/images/I/51yFf8tMOfL._SL1500_.jpg', 'https://m.media-amazon.com/images/I/61yLxYnoFpL._SL1500_.jpg', 'https://m.media-amazon.com/images/I/61vWmHEGitL._SL1500_.jpg', 'https://m.media-amazon.com/images/I/51rfppvzzaL._SL1500_.jpg', 'https://m.media-amazon.com/images/I/51svonyHGKL._SL1500_.jpg', 'https://m.media-amazon.com/images/I/51sjsqVqwOL._SL1500_.jpg', 'https://m.media-amazon.com/images/I/51TzDPopTTL._SL1500_.jpg']",In Stock,2023-07-05T16:47:52Z
"COOPERS Tablet 10 inch Android Tablet, Android 10 Tablet Quad Core Processor 32GB Storage Tablet Computer, 2GB RAM, 8MP Camera, Long Battery Life Black",$54.99,https://m.media-amazon.com/images/I/61GUH3kAtCL._AC_SL1500_.jpg,3.8,3549,https://www.amazon.com/Android-Quad-Core-Processor-Storage-Computer/dp/B08XMBD1TT?th=1,Black ~|~ Light Blue ~|~ Silver,Black,,0,"['https://m.media-amazon.com/images/I/41fRjeaSBVL._SL1500_.jpg', 'https://m.media-amazon.com/images/I/41KvutN3VFS._SL1500_.jpg', 'https://m.media-amazon.com/images/I/41hh+WyFzzS._SL1500_.jpg', 'https://m.media-amazon.com/images/I/410YUvc2fyS._SL1500_.jpg', 'https://m.media-amazon.com/images/I/51C1EzyiS-L._SL1500_.jpg', 'https://m.media-amazon.com/images/I/51yO8BiV7XL._SL1500_.jpg', 'https://m.media-amazon.com/images/I/41ryxGUUoDL._SL1500_.jpg']",In Stock,2023-07-05T16:49:06Z
"Amazon Fire HD 10 tablet, 10.1"", 1080p Full HD, 64 GB, latest model (2021 release), Black",$189.99,https://m.media-amazon.com/images/I/61aoLKgeqpL._AC_SL1000_.jpg,4.6,113507,https://www.amazon.com/Fire-HD-10-tablet/dp/B08BX8CW9V?th=1,Black ~|~ Denim ~|~ Lavender ~|~ Olive,Black,,0,"['https://m.media-amazon.com/images/I/41dbDKYOUVL._SL1500_.jpg', 'https://m.media-amazon.com/images/I/41dw1g4jtnS._SL1500_.jpg', 'https://m.media-amazon.com/images/I/41v0oTn5pVS._SL1500_.jpg', 'https://m.media-amazon.com/images/I/51-t3AvUkSS._SL1500_.jpg', 'https://m.media-amazon.com/images/I/614wVPzh-eS._SL1500_.jpg', 'https://m.media-amazon.com/images/I/51Y3zBlZNjS._SL1500_.jpg', 'https://m.media-amazon.com/images/I/51eD-TU2MPS._SL1500_.jpg']",In Stock,2023-07-05T16:49:48Z
"Android 12 Tablet 7.5 inch,Tablets Computer 64GB Storage 512GB Expandable, Quad-Core Processor, PS FHD 1440x1080 Resolution Display, Google GMS Certified Smart Tablet/WiFi/Bluetooth 5.0",$57.59,https://m.media-amazon.com/images/I/61ncaGz2OVL._AC_SL1500_.jpg,3.8,500,https://www.amazon.com/Expandable-Quad-Core-Processor-1440x1080-Resolution/dp/B0BCYRVPXX?th=1,Black ~|~ Gray ~|~ Pink ~|~ Silver ~|~ Skyblue,Gray,,0,"['https://m.media-amazon.com/images/I/41+ZBm-du4L._SL1500_.jpg', 'https://m.media-amazon.com/images/I/51gkOVBBHKL._SL1500_.jpg', 'https://m.media-amazon.com/images/I/51Doamxt7yL._SL1500_.jpg', 'https://m.media-amazon.com/images/I/514JkaDI6LL._SL1500_.jpg', 'https://m.media-amazon.com/images/I/51lm-nmAIML._SL1500_.jpg', 'https://m.media-amazon.com/images/I/51AoV-iMA7L._SL1500_.jpg', 'https://m.media-amazon.com/images/I/41sNItEDCaL._SL1500_.jpg']",Only 1 left ,2023-07-05T16:50:16Z
"SAMSUNG Galaxy Tab S8 Ultra | Super AMOLED, 120Hz, HDR10+ 14.6"" Screen | 128GB 8GB RAM | Graphite",$559.00,https://m.media-amazon.com/images/I/617fF6iK4gL._AC_SL1200_.jpg,4.7,55,https://www.amazon.com/Samsung-Galaxy-AMOLED-Screen-Graphite/dp/B09WQM6H4N?th=1,,,,0,"['https://m.media-amazon.com/images/I/41t+o4Ai9lL._SL1500_.jpg', 'https://m.media-amazon.com/images/I/41t+o4Ai9lL._SL1500_.jpg', 'https://m.media-amazon.com/images/I/41t+o4Ai9lL._SL1500_.jpg', 'https://m.media-amazon.com/images/I/31H6-OeWfCL._SL1500_.jpg']",,2023-07-05T16:50:46Z
"10 inch Tablets, Android 11.0 Tablets, 6GB+128GB, 512GB Expand, Quad-Core, Dual Camera, HD Touch Screen, BT, Wi-Fi 6, Google GMS",$78.99,https://m.media-amazon.com/images/I/718hIUhKzeL._AC_SL1500_.jpg,4.1,51,https://www.amazon.com/Tablets-Android-Expand-Quad-Core-Camera/dp/B0BFWWZ3PS?th=1,Black ~|~ Silver,Silver,,0,"['https://m.media-amazon.com/images/I/41R1EGaN8aL._SL1500_.jpg', 'https://m.media-amazon.com/images/I/51Q3XOAa-NL._SL1500_.jpg', 'https://m.media-amazon.com/images/I/51piqs--yxL._SL1500_.jpg', 'https://m.media-amazon.com/images/I/51r5Y3-1gML._SL1500_.jpg', 'https://m.media-amazon.com/images/I/41yg+i-W+ZL._SL1500_.jpg', 'https://m.media-amazon.com/images/I/41Fc23ofoSL._SL1500_.jpg', 'https://m.media-amazon.com/images/I/51g9FsnKO0L._SL1500_.jpg']",In Stock,2023-07-05T16:51:25Z
"Tablet 10 inch Android 12 Tablet, 64GB ROM 512GB Expand, Android Tablet with Dual Camera, WiFi, Bluetooth, HD Screen, Google GMS Certified-Silver",$65.98,https://m.media-amazon.com/images/I/71cRMfvPUkL._AC_SL1500_.jpg,3.4,137,https://www.amazon.com/Android-Tablet-Expand-Bluetooth-Certified/dp/B0BG8TFPQF?th=1,,,,0,"['https://m.media-amazon.com/images/I/413BJZBhz8L._SL1500_.jpg', 'https://m.media-amazon.com/images/I/51UVEvgTaVL._SL1500_.jpg', 'https://m.media-amazon.com/images/I/517DlNvpoML._SL1500_.jpg', 'https://m.media-amazon.com/images/I/51n-AFiD3CL._SL1500_.jpg', 'https://m.media-amazon.com/images/I/51O+iBk6Y4L._SL1500_.jpg', 'https://m.media-amazon.com/images/I/51IwHnRUAlL._SL1500_.jpg', 'https://m.media-amazon.com/images/I/61WH1U9IQYL._SL1500_.jpg']",In Stock,2023-07-05T16:51:46Z
Tablet 2023 Newest 2 in 1 Tablet 10 inch Android 11 4G Cellular Tablet with Dual Sim Card Slot 4GB+64GB+512GB Expandable Storage Octa-Core 13MP Camera WIFI Tablet with Keyboard Mouse Stylus(Black),$159.99,https://m.media-amazon.com/images/I/71mPBA5ixeL._AC_SL1500_.jpg,4.3,1781,https://www.amazon.com/sspa/click?ie=UTF8&spc=MToyNzcwMzk2MzM3MDAxNzgxOjE2ODg1NzU4OTM6c3BfYnRmOjIwMDE3OTMyNzI4MjU5ODo6MDo6&url=%2FAndroid-Expandable-Include-Bluetooth-Keyboard%2Fdp%2FB09FL234FT%2Fref%3Dsr_1_166_sspa%3Fkeywords%3Dtablet%26qid%3D1688575893%26sr%3D8-166-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,Black ~|~ Light Gray ~|~ Silver,Black,,0,"['https://m.media-amazon.com/images/I/41h4qlxkqvL._SL1500_.jpg', 'https://m.media-amazon.com/images/I/51QI1aXjsoL._SL1500_.jpg', 'https://m.media-amazon.com/images/I/51w8ygdL5WL._SL1500_.jpg', 'https://m.media-amazon.com/images/I/51S0+B5uyoL._SL1500_.jpg', 'https://m.media-amazon.com/images/I/51cQk0J9vXL._SL1500_.jpg', 'https://m.media-amazon.com/images/I/61820piANkL._SL1500_.jpg', 'https://m.media-amazon.com/images/I/71MyGu0LLUL._SL1500_.jpg']",In Stock,2023-07-05T16:52:14Z
"BYYBUO SmartPad T10 2023 Full HD 10.1 inch Android 11 Tablet, Octa-Core 2.0 GHz Processor, New Upgrade 7000mAh Battery Capacity, 32GB ROM 1920x1200 Resolution, 2.4G+5G WiFi,Bluetooth,GPS,FM,Gray",$87.98,https://m.media-amazon.com/images/I/71VCzTgVxyL._AC_SL1500_.jpg,4.0,326,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo4NTc3NDY2OTIyMjY2NzQzOjE2ODg1NzU5MDA6c3BfYXRmX25leHQ6MjAwMTc1MjY1Mzg4MTk4OjowOjo&url=%2FBYYBUO-SmartPad-T10-Octa-Core-Resolution%2Fdp%2FB09SHBPVX3%2Fref%3Dsr_1_113_sspa%3Fkeywords%3Dtablet%26qid%3D1688575900%26sr%3D8-113-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,,,,0,"['https://m.media-amazon.com/images/I/41teSPQbZkL._SL1500_.jpg', 'https://m.media-amazon.com/images/I/41lb-e2n-SL._SL1500_.jpg', 'https://m.media-amazon.com/images/I/510byrO7YaL._SL1500_.jpg', 'https://m.media-amazon.com/images/I/41XB3ZC9HUL._SL1500_.jpg', 'https://m.media-amazon.com/images/I/416FdyqYCuL._SL1500_.jpg', 'https://m.media-amazon.com/images/I/516OKLmHsEL._SL1500_.jpg', 'https://m.media-amazon.com/images/I/710NnBDPnXL._SL1500_.jpg']",In Stock,2023-07-05T16:52:14Z
